gen,nevals,avg,std,min,max
81,156,47.140240000000006,189.7427766128197,-1142.0,112.88
82,186,30.348080000000003,223.02594533980482,-1188.0,112.88
83,190,24.388440000000006,232.40875444003052,-1425.0,112.88
84,200,21.23216000000001,232.36637882992972,-1005.0,112.88
85,196,45.54876000000001,196.82012800032015,-1023.0,112.88
86,187,43.75932000000001,200.32621659068394,-1299.0,112.88
87,183,34.60296,212.13640639371263,-1013.0,112.59
88,182,54.40364000000001,209.5443533363531,-1500.0,112.59
89,196,51.33124000000001,180.6626458094268,-1031.0,112.59
90,189,28.668640000000007,222.93960476270337,-1091.0,112.59
91,208,35.22420000000001,205.25324097699408,-1065.0,112.59
92,189,30.282320000000006,235.42754905451824,-1302.0,112.59
93,199,46.556720000000006,184.4365166956956,-1051.0,112.59
94,197,55.32576000000001,180.13531282572666,-970.0,112.59
95,208,21.350080000000002,223.89534153973278,-1102.0,112.59
96,184,32.10596,216.34232916763747,-1385.0,112.59
97,193,36.3036,209.04495724087676,-1309.0,112.59
98,195,50.79472,178.91790203141102,-930.0,112.59
99,181,57.37320000000001,160.25005787256367,-730.0,112.59
100,189,41.76056000000001,203.59362942019186,-1160.0,112.59
101,197,26.873280000000005,229.50939690662256,-1253.0,112.59
102,184,56.30940000000001,190.63699409516505,-1520.0,112.59
103,169,44.326080000000005,210.12193355438552,-1525.0,112.59
104,193,27.55484000000001,232.37918922350684,-1527.0,112.59
105,197,40.93036000000001,192.05738224674,-1007.0,112.59
106,185,53.00716000000001,176.71343063483997,-1050.0,112.59
107,187,42.65584000000001,191.32941039028577,-1324.0,112.59
108,200,17.501600000000007,254.12786189758887,-1756.0,112.59
109,197,49.15452000000001,187.46246645120615,-1123.0,112.59
110,211,47.27888000000001,192.80400038678036,-1360.0,112.59
111,192,24.66756000000001,234.8093295523975,-1142.0,112.59
112,187,45.04096000000001,188.4823453670884,-1518.0,112.59
113,186,43.665920000000014,190.77981260121211,-880.0,112.59
114,193,60.47364000000002,153.50098095566167,-1162.0,112.59
115,188,59.662400000000005,158.01780091318827,-926.0,112.59
116,199,34.22144000000001,215.84668567556557,-1079.0,112.59
